"","income","health","age","drive","transport","spend","lambda_1","lambda_2","lambda_3"
"36",35669.3900309913,4,23,4,"Taxi",NA,1.69760777436789,-0.258885089686157,-0.841696358687922
"37",32459.3026500858,1,53,2,"Public",NA,1.09427245573233,-0.514834003670983,-0.5805560137616
"38",21092.2679111452,5,75,4,"Car",21.4907070539126,1.30758187323435,-0.422432484300798,-0.703378456148046
"39",17779.940015967,2,68,1,"Car",14.209278990716,1.28957780072236,-0.501961219339894,-0.643462138398413
"40",16876.3801538526,3,61,1,"Taxi",NA,1.46979442912829,-0.41764183267732,-0.736334723081795
"41",13544.0838503871,2,96,4,"Taxi",NA,1.13640840182237,-0.619619428943309,-0.48317561970776
"42",19043.0580132066,0,77,1,"Taxi",NA,1.13286769905342,-0.625003064785466,-0.475079738113502
"43",9083.56988893055,5,21,1,"Public",NA,2.85807558521065,-0.129911333540743,-0.950559606886203
"44",100535.801385495,2,35,1,"Car",22.1870721567656,0.384986040007455,-0.45319845097876,-0.21455629742942
"45",51306.534376808,5,63,2,"Public",NA,0.816966738349215,-0.449209444482166,-0.535699218092368
"46",10034.8969463698,3,65,2,"Public",NA,1.59360442324274,-0.41042829961604,-0.759541209817133
"47",16613.6614581708,3,97,1,"Taxi",NA,1.09376404081431,-0.593793704303647,-0.499512676798846
"48",15888.3474136469,1,50,2,"Taxi",NA,1.50665376296838,-0.441569383707008,-0.727881891431089
"49",38024.1051190743,5,48,4,"Public",NA,1.27578112323744,-0.348515355907756,-0.738799874411099
"50",20777.8262933059,5,66,4,"Public",NA,1.45181992583942,-0.374232085673757,-0.757521972206432
"51",26299.9669049022,2,37,0,"Car",10.45639361073,1.51118603755148,-0.370492744777611,-0.768851022701989
"52",21590.6854447395,2,43,3,"Public",NA,1.54366221756076,-0.382985234588703,-0.767232468116269
"53",21375.2861296127,2,67,1,"Car",8.46641444484301,1.22260072258575,-0.508899047929771,-0.621650175382898
"54",57412.7451620071,1,80,5,"Taxi",NA,0.674980309952709,-0.616350982947938,-0.228177193400182
"55",18806.5465705097,3,36,3,"Public",NA,1.86313751400017,-0.291732853429131,-0.846691285586072
"56",63673.8617083106,1,37,5,"Taxi",NA,0.709433406787329,-0.502609353190128,-0.428189677468939
"57",7449.28279073102,1,24,4,"Public",NA,2.26750907064397,-0.259870091404447,-0.88914836512851
"58",33164.3115941289,0,76,3,"Car",19.9559329138035,0.938714677438827,-0.63854921055469,-0.371939600387667
"59",24021.3421563715,3,45,0,"Taxi",NA,1.53184294944704,-0.361124904575266,-0.776673918834451
"60",25620.7820027412,3,73,3,"Taxi",NA,1.11927843620425,-0.509757497867651,-0.592592423671762
"61",28731.4504982047,3,21,5,"Public",NA,1.84849284185582,-0.25910348701694,-0.857377533052871
"62",15496.5637196606,3,80,4,"Taxi",NA,1.25703256460002,-0.512945655542034,-0.626867046346331
"63",17444.066330391,1,34,5,"Taxi",NA,1.72826339149066,-0.358786758558462,-0.803594113626598
"64",10796.7153416886,4,54,1,"Public",NA,1.87185181757869,-0.309663308841334,-0.840404703626726
"65",10401.9247640008,1,72,4,"Public",NA,1.35991950466062,-0.539482963665756,-0.628198292913306
"66",27240.7705956196,2,52,0,"Public",NA,1.26572369689304,-0.453041138324473,-0.674262296661814
"67",30144.1708465631,5,82,3,"Public",NA,1.02791577233836,-0.484465889608115,-0.585824198149583
"68",22859.0632475415,0,90,4,"Public",NA,1.03141251420777,-0.67468376629656,-0.358895579313945
"69",42006.8184239163,2,60,2,"Public",NA,0.902962898629485,-0.527229454943136,-0.498866736034507
"70",92508.8208911175,1,26,4,"Car",13.2088444108388,0.456981076096123,-0.467798044319794,-0.275697723913681
"71",15619.5432836058,4,57,3,"Public",NA,1.66265456232237,-0.347023530029672,-0.8012192706589
"72",4374.64996264,1,97,3,"Taxi",NA,1.27200656252636,-0.640307866275061,-0.50079001621993
"73",44534.3894853423,2,57,2,"Taxi",NA,0.883209693480763,-0.519618440789637,-0.498239421234685
"74",13407.3650586864,1,82,3,"Taxi",NA,1.21196936162908,-0.596970331029681,-0.534237499140435
"75",13607.7391969757,5,76,3,"Public",NA,1.4873878378336,-0.398244205124714,-0.750315460647374
"76",45156.9716956073,5,86,0,"Public",NA,0.759948422757638,-0.523976231261922,-0.43245156000454
"77",18045.6311888215,2,25,5,"Public",NA,2.0015596750621,-0.27222632761495,-0.866190051455046
"78",9372.14809558475,4,77,1,"Public",NA,1.50518792633771,-0.429978848462841,-0.734765741915646
"79",25007.0342887905,4,50,2,"Car",13.2246996901635,1.51106854911928,-0.349561449311551,-0.779254545725954
"80",19985.7749363417,5,39,3,"Public",NA,2.00385705813876,-0.235899855540375,-0.878803274684173
"81",22115.5205894123,4,84,2,"Car",18.3705905214779,1.12416114125558,-0.51158795502952,-0.592435817197613
"82",28845.1250173116,1,71,3,"Car",12.8733171734011,1.02313672126516,-0.583634182728056,-0.485199666412357
"83",16992.6806061627,2,43,4,"Taxi",NA,1.67729825875061,-0.362898718958487,-0.795490293441129
"84",34581.1350976512,2,51,4,"Public",NA,1.11530650767063,-0.471794409022403,-0.622643046105966
"85",18876.2426314095,2,31,1,"Public",NA,1.84818661277607,-0.306581526952134,-0.839360460027136
"86",27784.8829983606,1,70,4,"Car",19.8712853179636,1.04626726491991,-0.577711082022233,-0.500869636527124
"87",47466.8717189629,5,65,3,"Taxi",NA,0.865287809012609,-0.450351819253618,-0.555118968155636
"88",29870.5117483803,3,28,3,"Public",NA,1.66877209260007,-0.297680600315272,-0.823451800432324
"89",17533.1366116722,5,74,4,"Public",NA,1.41312913267989,-0.403513430927636,-0.73484254214284
"90",49225.4149393793,5,37,3,"Public",NA,1.15729089889857,-0.334366316536757,-0.720354892632355
"91",44154.6136132331,3,69,4,"Taxi",NA,0.834794407737619,-0.529495769837415,-0.465200062289024
"92",32334.1062010066,4,45,5,"Public",NA,1.38976322457595,-0.352831729220315,-0.757998981744577
"93",26032.7909974399,1,79,3,"Car",13.736563284296,1.02324522014255,-0.609747355157022,-0.452788446570373
"94",14192.4547505155,3,47,5,"Public",NA,1.79133907634475,-0.329240673098823,-0.824049783330291
"95",57094.1371774735,4,32,3,"Car",7.20225697540562,0.971128372844541,-0.371349406346348,-0.649315241277248
"96",14469.7897433329,1,67,5,"Taxi",NA,1.32437849415694,-0.527923891410362,-0.630158968047513
"97",101837.439966069,2,85,3,"Taxi",NA,0.399901568824959,-0.52934644871727,-0.0687816368720595
"98",64397.3291450605,2,32,2,"Car",19.392915573656,0.749532801282652,-0.454421009637669,-0.499454364828907
"99",18676.2837380107,3,80,3,"Car",19.4098822200341,1.19073690053069,-0.52294937508408,-0.601293412755234
"100",10737.5837903303,4,93,3,"Taxi",NA,1.26783368587511,-0.520633201081273,-0.623062938166516
"101",13396.0532022713,5,69,4,"Public",NA,1.61108388123902,-0.359399544144437,-0.788657468304303
"102",26365.6840341659,2,70,2,"Car",20.6458810174585,1.09566136460248,-0.537200212613249,-0.560231771742403
"103",18533.1386139966,1,75,2,"Taxi",NA,1.17094255468009,-0.578632828283165,-0.541809426440228
"104",17269.8965405904,3,30,0,"Public",NA,2.04355370328217,-0.255417748002014,-0.875405587755355
"105",11314.8013651857,4,26,0,"Public",NA,2.49167478287662,-0.181056351886466,-0.924565218093506
"106",21343.0319417483,3,28,1,"Public",NA,1.94742245535082,-0.262625354615049,-0.865098932210465
"107",12715.3712010738,3,98,1,"Public",NA,1.15334675014679,-0.589601412423251,-0.524369989081441
"108",6852.99213825991,4,76,2,"Car",15.2267978212279,1.58943963015149,-0.413412248150129,-0.757263267933978
"109",16879.2685657562,3,41,3,"Public",NA,1.82412700497817,-0.309235654668255,-0.835883253272936
"110",41910.7495847988,3,97,3,"Car",15.4144687397514,0.765008391793259,-0.614175495090613,-0.306229587410114
"111",14724.3391222911,3,90,2,"Taxi",NA,1.17785579131579,-0.558870276863879,-0.56416005252552
"112",33710.850086893,2,83,4,"Car",20.2196424244008,0.902636776160302,-0.599979795536538,-0.410861491525531
"113",7097.38797288276,2,91,5,"Car",11.0109035963481,1.28560301156993,-0.581842437343915,-0.570736398938072
"114",21186.2279408998,1,69,1,"Car",13.1519329671482,1.16936623869169,-0.5583249315375,-0.562208101339767
"115",31684.5684850123,3,27,1,"Public",NA,1.63172992795577,-0.300042051690823,-0.817933700304003
"116",27195.5151233125,5,54,2,"Public",NA,1.47371988287815,-0.337870544816913,-0.77913314265547
"117",23717.6158516664,2,46,2,"Public",NA,1.43745529600494,-0.408079717017224,-0.736447469576241
"118",14065.8590216653,4,28,3,"Public",NA,2.33910275841736,-0.199046350157523,-0.912063225263158
"119",12151.4885756248,3,59,1,"Public",NA,1.63348349295342,-0.38615624066876,-0.778160933594702
"120",10754.8258228381,5,47,3,"Public",NA,2.14783744257408,-0.235956542039444,-0.889368693334813
"121",23917.1874103096,2,35,3,"Public",NA,1.61496963997389,-0.349766761249967,-0.79380047777585
"122",11347.6706193425,3,38,3,"Public",NA,2.07219708905368,-0.269637253087125,-0.872623129028109
"123",15624.7236712705,3,71,2,"Taxi",NA,1.36038944321806,-0.466721006942908,-0.684855493274677
"124",18411.5868490051,1,51,5,"Public",NA,1.42755363815644,-0.457574813508662,-0.703941764407674
"125",80073.7531767109,5,56,3,"Taxi",NA,0.491727668643477,-0.443135647862533,-0.341846543222553
"126",13955.585045534,5,66,5,"Car",24.0534525970655,1.64841933299716,-0.345681519030566,-0.800052973455937
"127",25971.9035653904,1,43,5,"Taxi",NA,1.34919067202833,-0.444231196111537,-0.697835791992734
"128",23261.9113206706,3,52,2,"Car",9.72902668161997,1.43800396900039,-0.395239788971436,-0.743839512248189
"129",11234.0020560079,2,38,2,"Public",NA,1.95558577426196,-0.309469671861964,-0.848132873499508
"130",20953.9895607318,2,78,1,"Public",NA,1.13016374290653,-0.559530145798315,-0.549055970446813
"131",60547.6296298576,2,85,3,"Taxi",NA,0.628650483907589,-0.599533183480988,-0.218612121258913
"132",30213.7632758018,3,73,4,"Car",23.2988831593561,1.03261404619773,-0.521350045938191,-0.554487558776206
"133",22671.4804422626,5,71,3,"Car",15.2571003104204,1.32481598922335,-0.40765720303534,-0.715880219547151
"134",16387.1409421785,1,44,2,"Public",NA,1.58608194063162,-0.410053792905265,-0.758677723346775
"135",5232.93164987555,2,29,5,"Public",NA,2.36473449110348,-0.237180688745281,-0.902092697644974
"136",48627.0893867022,4,31,2,"Taxi",NA,1.18129216276554,-0.34260352328299,-0.721633868828671
"137",7923.21193823083,5,96,2,"Public",NA,1.34873450700739,-0.483460862052372,-0.670492000411103
"138",36973.7417634581,2,53,3,"Car",17.8226138108768,1.04705486869446,-0.487559269718399,-0.589407185227447
"139",83815.4383860212,3,90,5,"Car",30.5632778916975,0.462699575538364,-0.551371289187938,-0.121477933489376
"140",8016.64101701347,1,77,2,"Public",NA,1.36005693713749,-0.556921566006911,-0.61273306690083
"141",35999.0934350807,2,60,4,"Public",NA,1.00338897844227,-0.515951632445957,-0.549371785294309
"142",18333.0690028881,3,60,2,"Public",NA,1.4463615049167,-0.418204356681236,-0.732041964052955
"143",7328.30178969959,4,98,3,"Public",NA,1.28862172728014,-0.534511257465923,-0.616154431234217
"144",7629.15706947185,3,43,3,"Public",NA,2.09110800769818,-0.278709442274638,-0.870768242843007
"145",7179.06677880362,2,30,3,"Public",NA,2.27082707167553,-0.250270569540899,-0.892556564942563
"146",15189.5874283568,5,57,2,"Public",NA,1.78233951360774,-0.303660976823448,-0.83383343325764
"147",7917.02743507652,2,24,5,"Public",NA,2.38468633955007,-0.224939273091642,-0.906931941202698
"148",35651.330313149,3,78,5,"Car",19.2581961033709,0.908117885958233,-0.551552557400547,-0.474479284284749
"149",95805.5847671626,2,20,5,"Car",16.997495050931,0.44539226524503,-0.427202584443907,-0.319032172817254
"150",8947.04569448362,2,59,3,"Taxi",NA,1.63632532927596,-0.416650369873021,-0.761965197417463
"151",38231.5814756169,5,41,5,"Public",NA,1.38540891153494,-0.31574516995259,-0.774947227401516
"152",37734.4809202185,4,50,3,"Taxi",NA,1.17670916754603,-0.396690342237316,-0.690178618730166
"153",27793.0649204684,5,43,0,"Taxi",NA,1.66013657504946,-0.285612648861001,-0.827231564622477
"154",10874.0704256916,4,49,2,"Public",NA,1.97319174558211,-0.283985180447708,-0.859528091453913
"155",20259.5825987816,1,85,3,"Car",15.1459748404777,1.08057186027021,-0.623421299209984,-0.457734210691752
"156",18101.0144995272,4,83,1,"Taxi",NA,1.21708196627482,-0.494724631277209,-0.631773397699966
"157",32666.0853446506,1,92,3,"Car",22.897595788317,0.898721845900887,-0.655913309488876,-0.319694859829899
"158",16971.5360666244,3,71,3,"Public",NA,1.32831482417776,-0.471784184422841,-0.674685774021717
"159",43646.6307608804,1,65,4,"Taxi",NA,0.84147088826713,-0.579994515322054,-0.406383503437681
"160",16946.1068076647,3,38,5,"Public",NA,1.88305212967901,-0.293945591357505,-0.847718769400179
"161",46023.067902046,1,52,3,"Car",21.8550151515644,0.871879554669201,-0.537315112508057,-0.474089553125081
"162",10567.8969533251,2,75,2,"Car",16.4296900560028,1.37180654486556,-0.512562016082665,-0.653055941601376
"163",9116.95666777162,3,44,4,"Public",NA,2.01865358970478,-0.290517895161359,-0.860809450060658
"164",212931.959450334,1,40,1,"Taxi",NA,0.114355193032655,-0.268657521441185,-0.00408661535229178
"165",16451.9565492952,3,85,5,"Taxi",NA,1.1880964438276,-0.540311329813826,-0.584889915526386
"166",27139.8746322064,3,94,5,"Car",20.0128797534247,0.949461590963547,-0.598867895884939,-0.434930879364445
"167",34392.6711199154,2,38,3,"Public",NA,1.28099998647007,-0.407235079034681,-0.707186778753794
"168",15699.0198900736,2,75,3,"Public",NA,1.25969910480595,-0.530384741332258,-0.61269312827566
"169",31628.1691415787,2,55,4,"Car",15.9528264732625,1.13412876262347,-0.482113188383175,-0.619828990930876
"170",28517.5557879132,4,24,2,"Car",6.0150238808016,1.91457570423358,-0.236200512898355,-0.871240728229669
"171",18943.8315311335,4,43,1,"Taxi",NA,1.83059538174226,-0.288194454772255,-0.844887723213805
"172",23056.5488598792,4,76,5,"Car",19.8573562533416,1.18767392059328,-0.476043798757195,-0.638855810817453
"173",21507.4125052499,0,44,3,"Car",12.6204344818342,1.37945253939969,-0.475951205036066,-0.682148718257268
"174",97725.355587735,4,64,3,"Car",22.7667364131611,0.364393025661072,-0.463722286161755,-0.166487031605429
"175",13109.1368116285,5,58,4,"Public",NA,1.82930203362941,-0.299870503380254,-0.840184104461825
"176",10227.1641675937,4,55,4,"Public",NA,1.87013404713057,-0.312426324086579,-0.839111213564244
"177",22616.8815899099,3,66,5,"Car",14.3042252512503,1.25909678355261,-0.466157424398949,-0.663502395592109
"178",27373.660231613,2,89,5,"Public",NA,0.964009144148134,-0.61418597286496,-0.420803417455634
"179",29898.5850416458,4,72,3,"Car",12.9918478177391,1.08728574468238,-0.47732956742125,-0.610173281303543
"180",15980.815764377,3,65,3,"Taxi",NA,1.43384433803509,-0.435778733856812,-0.719147554464984
"181",10463.7450218292,3,40,3,"Public",NA,2.05891772903655,-0.275883426857634,-0.869380437825443
"182",53328.6838141362,2,61,4,"Car",18.5813168143352,0.741075580458018,-0.54202626974628,-0.399201322238517
"183",17244.4344260714,3,26,0,"Car",14.0484655716544,2.13452116899625,-0.236420276665789,-0.888310197966507
"184",12017.7619407855,2,29,3,"Public",NA,2.12196275850868,-0.266230587000459,-0.8774478055082
"185",18668.713031745,2,97,5,"Taxi",NA,1.05326267365976,-0.631827469056462,-0.435363482548157
"186",19186.7818181487,5,97,4,"Car",15.5197857551611,1.0996046100765,-0.524178507076185,-0.573725674349806
"187",47903.5169183894,2,79,4,"Taxi",NA,0.747590333774945,-0.593271180612754,-0.329294568011931
"188",23372.5165470947,4,20,4,"Car",16.3641140631997,2.18831237862727,-0.199834635012696,-0.9029466915297
"189",37340.6434683433,5,87,3,"Public",NA,0.86504668651221,-0.519035413551356,-0.490756977479227
"190",15529.4824222487,2,72,2,"Taxi",NA,1.29475698820868,-0.514683589773319,-0.63440062075165
"191",25593.9613200622,3,34,4,"Taxi",NA,1.68575564572028,-0.310309133508438,-0.820269969884569
"192",17548.4316803242,3,45,5,"Car",20.7488373123131,1.72486875825715,-0.333376029804212,-0.814884357682185
"193",23534.1648961996,1,30,3,"Public",NA,1.61830303471918,-0.363891472694875,-0.787422622432219
"194",11769.252030397,3,67,3,"Taxi",NA,1.51472084475704,-0.429220456274783,-0.736749255195143
"195",8799.4009709856,4,67,3,"Public",NA,1.68618292134129,-0.371560910522413,-0.792338472054647
"196",89147.6594895026,4,88,4,"Car",20.1912864644676,0.41255582145439,-0.517234028616373,-0.126244904551657
"197",33540.0718157066,1,34,5,"Public",NA,1.28641195349925,-0.425511467078472,-0.69701616544799
"198",9173.82910561728,2,45,3,"Public",NA,1.88162083390257,-0.338205054724886,-0.829268837083933
"199",14359.7417480829,0,80,1,"Car",14.3441365006709,1.19215686385866,-0.627828029904035,-0.491680459616396
"200",9606.19940876934,2,43,1,"Public",NA,1.90731961898347,-0.329154984379583,-0.835624041222173
"201",102658.912641747,3,78,2,"Car",24.1501777792998,0.365722130527895,-0.497380499456129,-0.0920255007733054
"202",55198.3910118026,3,62,5,"Car",16.7767501620446,0.722005459669807,-0.515414797468426,-0.420725676954391
"203",18295.2814315745,3,89,4,"Taxi",NA,1.12008127692468,-0.563451793461824,-0.541826088607775
"204",32216.5585958494,3,100,2,"Taxi",NA,0.863787891507561,-0.621950746068687,-0.357019085999478
"205",16480.9761886412,4,57,3,"Car",13.4809842314678,1.63681909801558,-0.350765580417523,-0.796183092409241
"206",15782.0291128947,1,42,5,"Car",13.8084486407499,1.63630014295472,-0.396076635069027,-0.773293679100612
"207",12682.4954858423,5,48,2,"Public",NA,2.05720575766682,-0.248468083272585,-0.87879445107626
"208",14527.0529786922,4,36,3,"Car",9.48047332150701,2.13385874074232,-0.235999060190094,-0.888399434253734
"209",69956.9426751061,5,27,5,"Car",16.2855242221606,0.827218319143489,-0.345695950874034,-0.615343926501798
"210",21208.9875623004,3,28,5,"Public",NA,1.95198179552551,-0.262072057312297,-0.865683906946308
"211",23943.9668607314,2,64,4,"Taxi",NA,1.19992972727479,-0.502244760127371,-0.621306517117352
"212",26123.2552074568,2,23,5,"Public",NA,1.77548353713058,-0.296538299324797,-0.835967084742657
"213",52194.5370896783,4,99,5,"Taxi",NA,0.652805429583026,-0.587909306184186,-0.264517181489776
"214",15348.2281799795,1,98,3,"Car",13.5772110320959,1.09814070643694,-0.663314615390107,-0.407711640905206
"215",10995.5397768943,3,55,1,"Taxi",NA,1.73900375777361,-0.358618274890946,-0.804917696480757
"216",71181.4729869734,4,61,2,"Car",15.3535762247405,0.555461847628927,-0.485489435955696,-0.342082720028678
"217",16174.4117064932,4,44,0,"Taxi",NA,1.90125106220622,-0.281485385784109,-0.854157186644576
"218",13277.8673768512,5,65,4,"Taxi",NA,1.6874449048566,-0.337392968518067,-0.808679055181194
"219",9270.65038953085,2,26,3,"Car",13.5147288960268,2.28803027558335,-0.239858290567461,-0.896950437526251
"220",8961.55459098861,5,39,0,"Public",NA,2.40323433987465,-0.194062306609893,-0.916810884418597
"221",14738.5024736233,2,55,2,"Taxi",NA,1.53973544648319,-0.419746070561871,-0.74626479669471
"222",33948.1646796693,2,22,3,"Car",15.376984163094,1.55249870906877,-0.323783753770413,-0.797240305854926
"223",47901.0975860759,5,24,0,"Car",11.142682422391,1.410761660161,-0.271825568222738,-0.797801758680901
"224",36145.6485284628,5,31,3,"Taxi",NA,1.63530001635679,-0.261254467423486,-0.833474921639513
"225",17076.1817605662,3,81,1,"Public",NA,1.21357597943217,-0.522939885125834,-0.607396085861233
"226",22967.2589349271,4,95,4,"Car",14.8866120636803,1.02016607121031,-0.561751421639923,-0.508943580076833
"227",13450.6468313519,4,64,3,"Car",9.53223885958423,1.6022699904411,-0.375626764721043,-0.779380072109146
"228",13332.3312705931,1,35,5,"Public",NA,1.83671035259873,-0.345456251595201,-0.821590510318934
"229",40915.1360967058,2,100,0,"Taxi",NA,0.788996830142263,-0.647746789351194,-0.260080265761917
"230",10819.282036505,2,83,5,"Taxi",NA,1.28260393884228,-0.554422964601322,-0.596700045067605
"231",86569.7542830824,0,69,0,"Taxi",NA,0.50324120820542,-0.577287230501746,-0.115434990470662
"232",20676.9800223706,5,85,3,"Car",17.5333121846059,1.19060657680668,-0.471565387899533,-0.642990587729955
"233",25595.6368050914,2,83,5,"Car",16.197382404808,1.01864339343879,-0.589884390165097,-0.475940966568857
"234",13134.933071601,5,61,1,"Public",NA,1.76856985190879,-0.315587875423214,-0.827440759739399
"235",14734.2193897581,3,100,1,"Car",16.5748983856382,1.10630141958896,-0.60232999264257,-0.493828088703373
"236",8761.20478831505,2,91,4,"Taxi",NA,1.25369979955486,-0.586641867739948,-0.557274632985471
"237",19379.1345607404,5,36,1,"Public",NA,2.09337342817297,-0.220196183979284,-0.89050567648527
"238",29533.7124115177,4,43,3,"Public",NA,1.50299238428553,-0.331854664761555,-0.786408304375222
"239",27639.8276107244,3,45,3,"Public",NA,1.43061774458968,-0.375850399560455,-0.753136867104107
"240",12745.3841687847,3,76,1,"Car",9.12809035086171,1.36536279709121,-0.482421795518968,-0.674665284473117
"241",12682.3256290161,0,30,1,"Public",NA,1.84768429215964,-0.35833446871903,-0.81679849889494
"242",15497.916850913,5,28,4,"Public",NA,2.42822039443071,-0.173603709177901,-0.92349556764495
"243",62770.6237850505,2,38,2,"Car",21.1424478924818,0.733739774566922,-0.473557990216416,-0.472912024119781
"244",9935.67868847552,2,46,4,"Taxi",NA,1.83803029522809,-0.347331111516366,-0.820877104242521
"245",19431.7554158493,1,58,4,"Taxi",NA,1.31456320317641,-0.498848577691859,-0.65153767272344
"246",83420.8264814303,5,56,3,"Car",13.8342532923694,0.462033620301483,-0.441479908951056,-0.316894754975004
"247",20523.3302760278,4,34,2,"Taxi",NA,1.96905579395924,-0.25081214105997,-0.871019604660649
"248",8502.46590881569,2,85,3,"Public",NA,1.31119547366082,-0.556903237545019,-0.601389782674458
"249",13830.9124041762,2,57,4,"Taxi",NA,1.53331709677182,-0.42700663019661,-0.740996674692059
"250",30940.5216870288,4,64,4,"Public",NA,1.15418746103392,-0.442479543514603,-0.654738625267702
"251",16933.9877335048,4,76,0,"Taxi",NA,1.32766210223165,-0.454834361230684,-0.686377599950177
"252",14863.8377523217,3,92,5,"Taxi",NA,1.15913459620506,-0.568340791518387,-0.548991029292873
"253",17313.7789766759,5,92,1,"Taxi",NA,1.18564461276084,-0.495272560225252,-0.623243574992312
"254",23466.9341769141,3,83,3,"Taxi",NA,1.07371061609551,-0.549329222471597,-0.541057736513571
"255",67437.4742254995,1,21,4,"Car",16.7670173028801,0.7526449215127,-0.451913365940122,-0.503304327800716
"256",20702.3897924998,4,55,1,"Car",11.6638143095139,1.54831050912983,-0.358054836505521,-0.780592146973747
"257",46936.9104123579,5,29,4,"Public",NA,1.348527178858,-0.290804920406582,-0.779496684694768
"258",34252.946903097,3,73,1,"Public",NA,0.962584762352919,-0.529763126833826,-0.520642225628991
"259",20342.1847053881,2,76,3,"Car",13.7266214459288,1.15789605638593,-0.548888317963903,-0.568074061681765
"260",7532.39700862163,1,97,2,"Car",12.4993104749893,1.21949776439205,-0.647171740620022,-0.475591959159452
"261",15294.0306508748,3,99,2,"Car",15.2641582528887,1.10317218013531,-0.599357283168964,-0.496273623175223
"262",15632.2393046242,2,25,0,"Public",NA,2.08475787762756,-0.26191314646815,-0.876266337617841
"263",22765.6500675941,2,30,2,"Public",NA,1.74376864363578,-0.318307287448956,-0.823569107606163
"264",54728.4561009995,2,80,4,"Car",14.8024750853238,0.679804275423362,-0.593473301749224,-0.277439502537083
"265",109661.681399374,0,33,3,"Car",13.6377491548138,0.363722650704621,-0.479173143351326,-0.133105419413145
"266",65075.7165724838,4,46,1,"Taxi",NA,0.699124453232027,-0.43908383766883,-0.487421875167452
"267",20066.2449167402,2,95,5,"Taxi",NA,1.04170277749033,-0.626509173906297,-0.437943794313244
